deputy_id,year,timestamp,presencas,ausencias_justificadas,ausencias_nao_justificadas,total_dias,taxa_presenca
220646,2024,2025-02-19 11:49:30.28591,1,0,0,1,100.0
72442,2024,2025-02-19 11:49:30.28591,73,8,6,87,83.91
204398,2024,2025-02-19 11:49:30.28591,81,5,1,87,93.1
227370,2024,2025-02-19 11:49:30.28591,18,0,0,18,100.0
160666,2024,2025-02-19 11:49:30.28591,81,4,2,87,93.1
204407,2024,2025-02-19 11:49:30.28591,56,31,0,87,64.37
220656,2024,2025-02-19 11:49:30.28591,83,4,0,87,95.4
141431,2024,2025-02-19 11:49:30.28591,81,2,4,87,93.1
204445,2024,2025-02-19 11:49:30.28591,87,0,0,87,100.0
92699,2024,2025-02-19 11:49:30.28591,81,5,1,87,93.1
204427,2024,2025-02-19 11:49:30.28591,75,9,3,87,86.21
204411,2024,2025-02-19 11:49:30.28591,50,37,0,87,57.47
220545,2024,2025-02-19 11:49:30.28591,87,0,0,87,100.0
160598,2024,2025-02-19 11:49:30.28591,80,7,0,87,91.95
225727,2024,2025-02-19 11:49:30.28591,0,0,0,0,
191923,2024,2025-02-19 11:49:30.28591,83,2,2,87,95.4
220700,2024,2025-02-19 11:49:30.28591,80,6,1,87,91.95
220551,2024,2025-02-19 11:49:30.28591,76,10,1,87,87.36
204494,2024,2025-02-19 11:49:30.28591,52,17,0,69,75.36
220534,2024,2025-02-19 11:49:30.28591,84,1,2,87,96.55
224117,2024,2025-02-19 11:49:30.28591,83,3,1,87,95.4
220708,2024,2025-02-19 11:49:30.28591,87,0,0,87,100.0
204473,2024,2025-02-19 11:49:30.28591,86,1,0,87,98.85
220611,2024,2025-02-19 11:49:30.28591,83,4,0,87,95.4
178966,2024,2025-02-19 11:49:30.28591,34,1,0,35,97.14
220702,2024,2025-02-19 11:49:30.28591,38,12,2,52,73.08
74374,2024,2025-02-19 11:49:30.28591,83,1,3,87,95.4
220587,2024,2025-02-19 11:49:30.28591,87,0,0,87,100.0
204394,2024,2025-02-19 11:49:30.28591,85,2,0,87,97.7
74383,2024,2025-02-19 11:49:30.28591,79,5,3,87,90.8
204491,2024,2025-02-19 11:51:41.282064,87,0,0,87,100.0
74270,2024,2025-02-19 11:51:41.282064,65,22,0,87,74.71
220529,2024,2025-02-19 11:51:41.282064,87,0,0,87,100.0
204365,2024,2025-02-19 11:51:41.282064,87,0,0,87,100.0
220526,2024,2025-02-19 11:51:41.282064,84,3,0,87,96.55
220531,2024,2025-02-19 11:51:41.282064,81,2,4,87,93.1
160673,2024,2025-02-19 11:51:41.282064,86,1,0,87,98.85
226179,2024,2025-02-19 11:51:41.282064,84,2,0,86,97.67
152605,2024,2025-02-19 11:51:41.282064,80,6,1,87,91.95
229333,2024,2025-02-19 11:51:41.282064,24,0,0,24,100.0
204419,2024,2025-02-19 11:51:41.282064,80,4,3,87,91.95
107283,2024,2025-02-19 11:51:41.282064,74,13,0,87,85.06
198197,2024,2025-02-19 11:51:41.282064,75,11,1,87,86.21
220639,2024,2025-02-19 11:51:41.282064,77,5,5,87,88.51
204531,2024,2025-02-19 11:51:41.282064,4,0,0,4,100.0
220664,2024,2025-02-19 11:51:41.282064,81,5,1,87,93.1
220568,2024,2025-02-19 11:51:41.282064,82,2,3,87,94.25
204408,2024,2025-02-19 11:51:41.282064,85,0,2,87,97.7
204456,2024,2025-02-19 11:51:41.282064,77,8,2,87,88.51
178964,2024,2025-02-19 11:51:41.282064,80,6,1,87,91.95
178873,2024,2025-02-19 11:51:41.282064,87,0,0,87,100.0
220537,2024,2025-02-19 11:51:41.282064,68,17,2,87,78.16
178909,2024,2025-02-19 11:51:41.282064,70,13,1,84,83.33
204444,2024,2025-02-19 11:51:41.282064,83,3,1,87,95.4
220672,2024,2025-02-19 11:51:41.282064,79,2,6,87,90.8
227324,2024,2025-02-19 11:51:41.282064,14,1,1,16,87.5
204539,2024,2025-02-19 11:51:41.282064,51,33,3,87,58.62
100689,2024,2025-02-19 11:51:41.282064,18,0,0,18,100.0
178884,2024,2025-02-19 11:51:41.282064,32,0,0,32,100.0
141450,2024,2025-02-19 11:51:41.282064,87,0,0,87,100.0
160674,2024,2025-02-19 11:51:41.282064,66,21,0,87,75.86
220563,2024,2025-02-19 11:51:41.282064,56,7,1,64,87.5
204533,2024,2025-02-19 11:51:41.282064,80,5,2,87,91.95
204508,2024,2025-02-19 11:51:41.282064,87,0,0,87,100.0
98615,2024,2025-02-19 11:51:41.282064,80,6,1,87,91.95
204436,2024,2025-02-19 11:51:41.282064,52,35,0,87,59.77
230764,2024,2025-02-19 11:51:41.282064,0,0,0,0,
73531,2024,2025-02-19 11:51:41.282064,86,1,0,87,98.85
220696,2024,2025-02-19 11:51:41.282064,84,3,0,87,96.55
220670,2024,2025-02-19 11:51:41.282064,71,16,0,87,81.61
220527,2024,2025-02-19 11:51:41.282064,87,0,0,87,100.0
220697,2024,2025-02-19 11:51:41.282064,79,4,4,87,90.8
74848,2024,2025-02-19 11:51:41.282064,0,0,0,0,
220567,2024,2025-02-19 11:51:41.282064,60,9,0,69,86.96
74273,2024,2025-02-19 11:51:41.282064,82,5,0,87,94.25
160531,2024,2025-02-19 11:51:41.282064,0,0,0,0,
141456,2024,2025-02-19 11:51:41.282064,86,1,0,87,98.85
141458,2024,2025-02-19 11:51:41.282064,84,3,0,87,96.55
230957,2024,2025-02-19 11:51:41.282064,0,0,0,0,
178970,2024,2025-02-19 11:51:41.282064,87,0,0,87,100.0
74550,2024,2025-02-19 11:53:50.288292,78,6,3,87,89.66
141459,2024,2025-02-19 11:53:50.288292,79,6,2,87,90.8
178910,2024,2025-02-19 11:53:50.288292,87,0,0,87,100.0
160548,2024,2025-02-19 11:53:50.288292,84,3,0,87,96.55
217480,2024,2025-02-19 11:53:50.288292,0,0,0,0,
205550,2024,2025-02-19 11:53:50.288292,83,4,0,87,95.4
214694,2024,2025-02-19 11:53:50.288292,87,0,0,87,100.0
178857,2024,2025-02-19 11:53:50.288292,84,3,0,87,96.55
141464,2024,2025-02-19 11:53:50.288292,84,3,0,87,96.55
141470,2024,2025-02-19 11:53:50.288292,85,2,0,87,97.7
204472,2024,2025-02-19 11:53:50.288292,83,4,0,87,95.4
204391,2024,2025-02-19 11:53:50.288292,76,7,4,87,87.36
74079,2024,2025-02-19 11:53:50.288292,70,4,13,87,80.46
74554,2024,2025-02-19 11:53:50.288292,73,12,2,87,83.91
209189,2024,2025-02-19 11:53:50.288292,84,2,1,87,96.55
220578,2024,2025-02-19 11:53:50.288292,87,0,0,87,100.0
74141,2024,2025-02-19 11:53:50.288292,82,1,0,83,98.8
204563,2024,2025-02-19 11:53:50.288292,56,10,5,71,78.87
215043,2024,2025-02-19 11:53:50.288292,79,1,7,87,90.8
204474,2024,2025-02-19 11:53:50.288292,53,5,0,58,91.38
220559,2024,2025-02-19 11:53:50.288292,85,2,0,87,97.7
220640,2024,2025-02-19 11:53:50.288292,77,9,1,87,88.51
228837,2024,2025-02-19 11:53:50.288292,29,0,0,29,100.0
66385,2024,2025-02-19 11:53:50.288292,86,0,1,87,98.85
74317,2024,2025-02-19 11:53:50.288292,84,3,0,87,96.55
204372,2024,2025-02-19 11:53:50.288292,77,9,1,87,88.51
74253,2024,2025-02-19 11:53:50.288292,74,12,1,87,85.06
228797,2024,2025-02-19 11:53:50.288292,32,0,0,32,100.0
204457,2024,2025-02-19 11:53:50.288292,86,1,0,87,98.85
204520,2024,2025-02-19 11:53:50.288292,47,16,0,63,74.6
204497,2024,2025-02-19 11:53:50.288292,86,0,1,87,98.85
204574,2024,2025-02-19 11:53:50.288292,60,2,9,71,84.51
204550,2024,2025-02-19 11:53:50.288292,47,6,7,60,78.33
178886,2024,2025-02-19 11:53:50.288292,0,0,0,0,
220677,2024,2025-02-19 11:53:50.288292,84,2,1,87,96.55
162067,2024,2025-02-19 11:53:50.288292,83,2,2,87,95.4
204536,2024,2025-02-19 11:53:50.288292,80,5,2,87,91.95
98057,2024,2025-02-19 11:53:50.288292,81,6,0,87,93.1
74856,2024,2025-02-19 11:53:50.288292,87,0,0,87,100.0
141480,2024,2025-02-19 11:53:50.288292,86,1,0,87,98.85
178832,2024,2025-02-19 11:53:50.288292,0,0,1,1,0.0
220600,2024,2025-02-19 11:53:50.288292,72,12,3,87,82.76
220566,2024,2025-02-19 11:53:50.288292,72,13,2,87,82.76
80815,2024,2025-02-19 11:53:50.288292,87,0,0,87,100.0
122195,2024,2025-02-19 11:53:50.288292,25,0,0,25,100.0
74156,2024,2025-02-19 11:53:50.288292,84,2,1,87,96.55
74299,2024,2025-02-19 11:53:50.288292,37,0,2,39,94.87
92102,2024,2025-02-19 11:53:50.288292,85,0,2,87,97.7
139285,2024,2025-02-19 11:53:50.288292,83,2,2,87,95.4
74585,2024,2025-02-19 11:53:50.288292,87,0,0,87,100.0
74858,2024,2025-02-19 11:56:11.207366,82,0,5,87,94.25
171139,2024,2025-02-19 11:56:11.207366,25,6,0,31,80.65
220662,2024,2025-02-19 11:56:11.207366,86,0,1,87,98.85
204404,2024,2025-02-19 11:56:11.207366,86,1,0,87,98.85
138286,2024,2025-02-19 11:56:11.207366,46,4,1,51,90.2
220581,2024,2025-02-19 11:56:11.207366,84,2,1,87,96.55
103758,2024,2025-02-19 11:56:11.207366,58,3,3,64,90.62
74478,2024,2025-02-19 11:56:11.207366,46,41,0,87,52.87
178931,2024,2025-02-19 11:56:11.207366,81,3,3,87,93.1
227323,2024,2025-02-19 11:56:11.207366,12,3,1,16,75.0
220616,2024,2025-02-19 11:56:11.207366,75,8,4,87,86.21
178954,2024,2025-02-19 11:56:11.207366,82,5,0,87,94.25
229082,2024,2025-02-19 11:56:11.207366,22,3,0,25,88.0
222429,2024,2025-02-19 11:56:11.207366,81,2,1,84,96.43
160510,2024,2025-02-19 11:56:11.207366,61,26,0,87,70.11
204410,2024,2025-02-19 11:56:11.207366,83,4,0,87,95.4
204448,2024,2025-02-19 11:56:11.207366,0,0,0,0,
141485,2024,2025-02-19 11:56:11.207366,68,17,2,87,78.16
73778,2024,2025-02-19 11:56:11.207366,78,9,0,87,89.66
204485,2024,2025-02-19 11:56:11.207366,86,0,1,87,98.85
74041,2024,2025-02-19 11:56:11.207366,86,1,0,87,98.85
141487,2024,2025-02-19 11:56:11.207366,81,2,4,87,93.1
229432,2024,2025-02-19 11:56:11.207366,19,0,2,21,90.48
220658,2024,2025-02-19 11:56:11.207366,81,4,2,87,93.1
204455,2024,2025-02-19 11:56:11.207366,87,0,0,87,100.0
220636,2024,2025-02-19 11:56:11.207366,0,0,0,0,
162332,2024,2025-02-19 11:56:11.207366,77,10,0,87,88.51
204526,2024,2025-02-19 11:56:11.207366,80,4,3,87,91.95
74784,2024,2025-02-19 11:56:11.207366,73,13,1,87,83.91
178866,2024,2025-02-19 11:56:11.207366,0,0,0,0,
220669,2024,2025-02-19 11:56:11.207366,79,8,0,87,90.8
166402,2024,2025-02-19 11:56:11.207366,73,3,11,87,83.91
220648,2024,2025-02-19 11:56:11.207366,79,2,6,87,90.8
156190,2024,2025-02-19 11:56:11.207366,87,0,0,87,100.0
179000,2024,2025-02-19 11:56:11.207366,78,2,7,87,89.66
204433,2024,2025-02-19 11:56:11.207366,4,2,0,6,66.67
220599,2024,2025-02-19 11:56:11.207366,86,1,0,87,98.85
220634,2024,2025-02-19 11:56:11.207366,0,0,0,0,
133810,2024,2025-02-19 11:56:11.207366,73,12,2,87,83.91
160161,2024,2025-02-19 11:56:11.207366,83,4,0,87,95.4
178983,2024,2025-02-19 11:56:11.207366,87,0,0,87,100.0
179001,2024,2025-02-19 11:56:11.207366,83,3,1,87,95.4
226410,2024,2025-02-19 11:56:11.207366,0,0,0,0,
220687,2024,2025-02-19 11:56:11.207366,57,5,0,62,91.94
81055,2024,2025-02-19 11:56:11.207366,84,2,1,87,96.55
150418,2024,2025-02-19 11:56:11.207366,83,2,2,87,95.4
204522,2024,2025-02-19 11:56:11.207366,0,0,0,0,
219585,2024,2025-02-19 11:56:11.207366,83,0,3,86,96.51
160535,2024,2025-02-19 11:56:11.207366,78,5,4,87,89.66
204431,2024,2025-02-19 11:56:11.207366,74,12,1,87,85.06
204506,2024,2025-02-19 11:58:24.325678,73,14,0,87,83.91
220547,2024,2025-02-19 11:58:24.325678,87,0,0,87,100.0
